,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Laguna,US,1616296325,38.421,-121.4238,54.0,50,1,2.37
1,Zhezkazgan,KZ,1616296325,47.8043,67.7144,28.56,92,92,8.93
2,Ilulissat,GL,1616296094,69.2167,-51.1,19.4,68,75,6.91
3,Constitución,CL,1616296131,-35.3333,-72.4167,55.47,79,94,5.37
4,Albany,US,1616296115,42.6001,-73.9662,42.8,36,1,5.32
5,Qaanaaq,GL,1616296117,77.484,-69.3632,-7.78,97,100,2.57
6,Bredasdorp,ZA,1616296132,-34.5322,20.0403,59.0,94,95,1.14
7,Ancud,CL,1616296326,-41.8697,-73.8203,48.99,93,0,5.75
8,Punta Arenas,CL,1616296113,-53.15,-70.9167,50.0,66,40,29.93
9,San Patricio,US,1616296152,28.017,-97.5169,57.99,62,1,12.66
10,Cape Town,ZA,1616296108,-33.9258,18.4232,64.4,63,0,19.57
11,Banjar,ID,1616296326,-8.19,114.9675,87.8,66,20,12.66
12,East London,ZA,1616296119,-33.0153,27.9116,67.68,77,38,17.4
13,Castro,BR,1616296122,-24.7911,-50.0119,64.18,96,10,3.31
14,Atuona,PF,1616296105,-9.8,-139.0333,80.06,75,79,12.08
15,Acapulco de Juárez,MX,1616296248,16.8634,-99.8901,80.6,78,1,3.44
16,Dakoro,NE,1616296327,14.5106,6.765,81.93,11,77,8.9
17,Ucluelet,CA,1616296327,48.9329,-125.5528,44.01,70,100,4.0
18,Ushuaia,AR,1616295902,-54.8,-68.3,48.2,71,75,28.77
19,Itarema,BR,1616296328,-2.9248,-39.9167,75.56,84,19,5.03
20,Flinders,AU,1616296150,-34.5833,150.8552,69.01,92,100,7.0
21,Sambava,MG,1616296328,-14.2667,50.1667,74.93,87,90,7.9
22,Ashland,US,1616296328,40.8167,-82.2665,39.2,56,1,4.61
23,Waipawa,NZ,1616296165,-41.4122,175.5153,66.0,63,62,14.97
24,Faxe Ladeplads,DK,1616296329,55.2198,12.1701,42.8,87,90,16.11
25,Flin Flon,CA,1616296329,54.7682,-101.865,34.9,87,68,3.67
26,Caravelas,BR,1616296329,-17.7125,-39.2481,75.25,90,69,5.91
27,Bengkulu,ID,1616296078,-3.8004,102.2655,86.05,61,77,1.66
28,Saint-Philippe,RE,1616296106,-21.3585,55.7679,77.0,78,0,4.61
29,Kautokeino,NO,1616296330,69.0125,23.0412,20.28,83,97,14.05
30,Husavik,IS,1616296107,66.0449,-17.3389,42.8,61,75,24.16
31,Longyearbyen,SJ,1616296330,78.2186,15.6401,15.8,73,75,21.85
32,Rikitea,PF,1616296114,-23.1203,-134.9692,79.97,73,88,4.47
33,Butaritari,KI,1616296137,3.0707,172.7902,81.95,79,33,17.29
34,Arrondissement de Cambrai,FR,1616296331,50.1667,3.4167,42.01,99,99,4.0
35,Kapaa,US,1616296116,22.0752,-159.319,73.4,73,40,21.85
36,Margate,GB,1616296164,51.3813,1.3862,46.0,79,72,7.0
37,Hermanus,ZA,1616296109,-34.4187,19.2345,59.0,91,86,1.01
38,Haines Junction,CA,1616296331,60.7522,-137.5108,15.8,41,100,3.44
39,Hithadhoo,MV,1616296135,-0.6,73.0833,82.96,74,95,9.93
40,Palm Coast,US,1616296249,29.585,-81.2078,57.0,100,90,19.57
41,Tuatapere,NZ,1616296332,-46.1333,167.6833,57.99,86,89,11.01
42,Vaitape,PF,1616296332,-16.5167,-151.75,83.07,68,0,5.73
43,Kruisfontein,ZA,1616296332,-34.0033,24.7314,62.01,86,3,1.01
44,Busselton,AU,1616296121,-33.65,115.3333,91.99,29,8,4.0
45,Egvekinot,RU,1616296163,66.3167,-179.1667,-2.72,81,100,9.66
46,Bluff,NZ,1616296123,-46.6,168.3333,57.99,86,100,11.01
47,George Town,MY,1616295912,5.4112,100.3354,87.8,66,20,3.44
48,Pedernales,DO,1616296333,18.0384,-71.744,76.21,72,0,4.47
49,Provideniya,RU,1616296146,64.3833,-173.3,7.7,75,100,10.29
50,Vila Franca do Campo,PT,1616296153,37.7167,-25.4333,57.2,72,75,4.61
51,Leningradskiy,RU,1616296127,69.3833,178.4167,-8.05,90,100,4.16
52,Mataura,NZ,1616296113,-46.1927,168.8643,57.99,86,100,11.01
53,La Ronge,CA,1616296162,55.1001,-105.2842,42.8,42,4,4.61
54,Boyuibe,BO,1616296333,-20.4167,-63.2833,67.75,87,14,2.06
55,Nikolskoye,RU,1616296154,59.7035,30.7861,28.99,93,90,8.95
56,Isangel,VU,1616296133,-19.55,169.2667,81.14,73,98,12.41
57,Kabala,SL,1616296334,9.5833,-11.55,72.63,62,26,4.63
58,Norman Wells,CA,1616296148,65.282,-126.8329,-2.2,65,20,5.75
59,Ocós,GT,1616296334,14.5094,-92.1933,78.8,78,20,3.91
60,Avarua,CK,1616296124,-21.2078,-159.775,84.2,74,25,9.22
61,Fomboni,KM,1616296334,-12.28,43.7425,84.11,69,28,7.27
62,Uniontown,US,1616296335,39.9001,-79.7164,48.2,27,1,5.57
63,Faanui,PF,1616296108,-16.4833,-151.75,83.01,68,0,5.55
64,Khasan,RU,1616296335,42.4308,130.6434,34.32,98,100,4.38
65,Port Alfred,ZA,1616296107,-33.5906,26.891,64.9,87,12,18.03
66,Kirakira,SB,1616296335,-10.4544,161.9205,83.46,72,85,5.21
67,Lüderitz,NA,1616296116,-26.6481,15.1594,66.6,67,35,21.81
68,Geraldton,AU,1616296153,-28.7667,114.6,98.6,12,0,14.97
69,Sabha,LY,1616296336,27.0377,14.4283,72.37,11,9,11.63
70,Basco,PH,1616296162,20.4487,121.9702,78.49,79,4,20.0
71,Charleston,US,1616296206,32.7766,-79.9309,51.8,66,90,14.97
72,Yar-Sale,RU,1616296336,66.8333,70.8333,-8.75,91,100,12.48
73,Saldanha,ZA,1616296157,-33.0117,17.9442,59.0,77,0,8.05
74,Lebu,CL,1616296123,-37.6167,-73.65,55.17,84,48,10.02
75,New Norfolk,AU,1616296130,-42.7826,147.0587,73.99,47,33,4.0
76,Vihti,FI,1616296337,60.417,24.3197,35.01,88,100,10.0
77,Kavaratti,IN,1616296337,10.5669,72.642,83.05,67,0,9.08
78,Khatanga,RU,1616296116,71.9667,102.5,-28.93,94,51,8.34
79,Jamestown,US,1616296110,42.097,-79.2353,41.0,28,1,3.15
80,Zhigalovo,RU,1616296338,54.8097,105.1578,31.19,81,100,3.38
81,Tasiilaq,GL,1616296114,65.6145,-37.6368,24.8,100,90,42.57
82,Xichang,CN,1616296338,27.8964,102.2634,54.05,50,98,7.11
83,Esperantinópolis,BR,1616296338,-4.8667,-44.7083,71.89,97,94,1.57
84,San Rafael,AR,1616296146,-34.6177,-68.3301,62.22,41,0,6.8
85,Skibbereen,IE,1616296339,51.55,-9.2667,44.6,93,75,5.75
86,Necochea,AR,1616296266,-38.5473,-58.7368,61.0,82,0,4.0
87,Upernavik,GL,1616296339,72.7868,-56.1549,-8.32,99,100,11.54
88,Charters Towers,AU,1616296339,-20.1,146.2667,87.19,53,99,10.49
89,Baillif,GP,1616296339,16.0202,-61.7463,73.4,83,75,4.61
90,Bull Savanna,JM,1616296340,17.8868,-77.5902,73.4,77,38,1.5
91,Anjozorobe,MG,1616296340,-18.4,47.8667,60.8,94,75,3.44
92,Kamień Pomorski,PL,1616296340,53.9685,14.7726,37.0,93,90,8.05
93,Airai,TL,1616296125,-8.9266,125.4092,75.79,57,92,4.76
94,Severo-Kuril'sk,RU,1616296321,50.6789,156.125,25.16,78,81,19.95
95,Yellowknife,CA,1616296023,62.456,-114.3525,5.0,66,90,17.27
96,Kawalu,ID,1616296341,-7.3817,108.2082,86.92,58,18,3.02
97,Garmsār,IR,1616296341,35.2182,52.3409,52.66,43,94,8.86
98,Vaini,TO,1616296139,-21.2,-175.2,82.4,83,75,5.75
99,Dengzhou,CN,1616296342,37.8086,120.7508,39.78,44,0,25.57
100,Tuktoyaktuk,CA,1616296110,69.4541,-133.0374,-16.6,76,75,5.75
101,Dunedin,NZ,1616296342,-45.8742,170.5036,59.0,75,88,13.0
102,College,US,1616296342,64.8569,-147.8028,17.6,41,1,11.5
103,Ostrovnoy,RU,1616296153,68.0531,39.5131,16.9,91,92,8.99
104,Yangi Marg`ilon,UZ,1616296155,40.4272,71.7189,50.0,87,100,4.61
105,Barrow,US,1616296117,71.2906,-156.7887,-5.8,71,1,10.36
106,Mount Gambier,AU,1616296343,-37.8333,140.7667,71.6,60,90,8.05
107,Port Lincoln,AU,1616296343,-34.7333,135.8667,76.35,57,0,12.12
108,Aginskoye,RU,1616296343,51.1,114.53,30.29,66,5,16.93
109,Balakovo,RU,1616296343,52.0278,47.8007,15.75,90,37,3.71
110,Esso,RU,1616296344,55.9333,158.7,15.39,75,0,3.8
111,Kibala,TD,1616296344,9.1104,18.3463,82.4,54,0,4.61
112,Torata,PE,1616296344,-17.0769,-70.8433,57.7,72,27,3.06
113,São Félix do Xingu,BR,1616296345,-6.6447,-51.995,70.99,95,49,2.19
114,Islamkot,PK,1616296345,24.6997,70.177,81.36,28,0,6.69
115,Kidal,ML,1616296345,18.4411,1.4078,74.34,14,10,8.32
116,Gawler,AU,1616296345,-34.6,138.7333,86.0,36,11,3.0
117,Miracatu,BR,1616296346,-24.2814,-47.4597,72.18,99,25,0.96
118,Torbay,CA,1616296111,47.6666,-52.7314,23.0,68,40,17.27
119,Dobson,US,1616296346,36.3957,-80.7226,46.4,36,1,4.61
120,Pierre,US,1616296346,44.3683,-100.351,57.99,50,1,13.8
121,Beidao,CN,1616296347,34.5686,105.8933,44.28,22,100,3.85
122,Guadalupe y Calvo,MX,1616296347,26.1,-106.9667,46.13,23,0,2.3
123,Scotts Valley,US,1616296182,37.0511,-122.0147,52.0,72,0,1.99
124,Bang Saphan,TH,1616296347,11.2126,99.5117,89.6,66,48,1.14
125,Nantucket,US,1616296347,41.2835,-70.0995,36.0,75,0,13.15
126,Niquelândia,BR,1616296348,-14.4739,-48.4597,68.23,90,0,3.38
127,Bethel,US,1616295957,41.3712,-73.414,39.0,60,1,3.44
128,Kenai,US,1616296348,60.5544,-151.2583,24.01,53,40,20.71
129,Forrest City,US,1616296348,35.0081,-90.7898,53.6,66,1,5.95
130,Khāsh,IR,1616296349,28.2211,61.2158,58.57,29,0,5.95
131,Stawell,AU,1616296349,-37.05,142.7667,64.47,81,100,11.65
132,Orange Cove,US,1616296349,36.6244,-119.3137,54.0,54,20,8.05
133,Muros,ES,1616296350,42.7762,-9.0603,46.99,54,0,14.67
134,Natchitoches,US,1616296350,31.7668,-93.1335,42.8,100,1,3.71
135,Arraial do Cabo,BR,1616296108,-22.9661,-42.0278,76.8,86,0,15.86
136,Adrar,MR,1616296144,20.5022,-10.0711,66.11,14,0,13.6
137,Mikkeli,FI,1616296350,61.6886,27.2723,35.6,93,90,9.62
138,Ilebo,CD,1616296351,-4.3167,20.5833,70.74,97,100,2.26
139,Igrim,RU,1616296351,63.1906,64.4162,-3.55,96,100,7.7
140,Paka,MY,1616296088,4.6374,103.4368,82.4,83,40,3.44
141,Capinota,BO,1616296351,-17.7167,-66.2333,62.6,72,75,11.5
142,Iqaluit,CA,1616296138,63.7506,-68.5145,-14.01,70,1,12.66
143,Micheweni,TZ,1616296352,-4.9667,39.8333,79.32,78,8,2.53
144,Nhulunbuy,AU,1616296352,-12.2333,136.7667,86.0,74,75,13.8
145,Litovko,RU,1616296352,49.2361,135.1742,30.54,98,100,7.52
146,Eldorado,BR,1616296352,-23.7869,-54.2836,73.08,90,19,4.74
147,Middelburg,ZA,1616296353,-25.7751,29.4648,61.52,69,92,3.31
148,Dudinka,RU,1616296148,69.4058,86.1778,-16.42,69,64,9.22
149,Carnarvon,AU,1616296138,-24.8667,113.6333,93.2,22,0,6.91
150,Zhigansk,RU,1616296353,66.7697,123.3711,17.11,89,100,16.51
151,Chaiyaphum,TH,1616296353,15.75,102.0,95.58,34,7,10.85
152,Sohāgpur,IN,1616296354,22.7,78.2,83.21,28,0,3.04
153,Fort Nelson,CA,1616296354,58.8053,-122.7002,17.6,57,75,6.91
154,Saint Paul Harbor,US,1616296114,57.79,-152.4072,35.6,80,90,12.66
155,Saint-Augustin,CA,1616296354,51.226,-58.6502,11.66,90,11,7.74
156,Alekseyevsk,RU,1616296355,57.8406,108.3492,7.74,93,100,6.4
157,San Policarpo,PH,1616296355,12.1791,125.5072,82.0,83,93,12.41
158,Dvinskoy Bereznik,RU,1616296355,62.8551,42.7072,15.62,94,94,8.05
159,Cap-aux-Meules,CA,1616296355,47.3821,-61.8597,24.8,86,44,3.44
160,Coquimbo,CL,1616296356,-29.9533,-71.3436,59.0,82,0,1.14
161,Flagstaff,US,1616296356,35.1981,-111.6513,50.0,49,90,12.66
162,Szczytno,PL,1616296356,53.5626,20.9875,28.4,80,75,13.8
163,Hofn,IS,1616296356,64.2539,-15.2082,41.07,75,100,16.11
164,Alice Springs,AU,1616296336,-23.7,133.8833,66.2,94,90,8.05
165,Betanzos,ES,1616296357,43.2804,-8.2147,46.99,65,0,2.3
166,Udachny,RU,1616296121,66.4167,112.4,-20.74,91,100,29.33
167,Hobart,AU,1616296106,-42.8794,147.3294,73.99,46,40,14.97
168,Fortuna,US,1616296097,40.5982,-124.1573,48.0,81,1,9.22
169,Port Augusta,AU,1616296357,-32.5,137.7667,82.0,50,99,6.91
170,Chake Chake,TZ,1616296358,-5.2459,39.7666,76.51,82,8,0.27
171,Chui,UY,1616296166,-33.6971,-53.4616,69.04,97,100,5.59
172,Ribeira Grande,PT,1616296155,38.5167,-28.7,59.07,79,100,17.2
173,Hobyo,SO,1616296134,5.3505,48.5268,79.12,74,54,14.47
174,Hilo,US,1616296349,19.7297,-155.09,71.6,78,90,4.61
175,Victor Harbor,AU,1616296358,-35.5667,138.6167,80.01,59,8,8.21
176,Mar del Plata,AR,1616296110,-38.0023,-57.5575,62.6,94,0,5.75
177,Lompoc,US,1616296070,34.6391,-120.4579,51.8,71,1,10.36
